STATION,NAME,DATE,PRCP,TMAX,TMIN,PRCP
USW001,Sitka,2021-01-01,48,56,39,0.11
USW001,Sitka,2021-01-02,46,56,36,0.0
USW001,Sitka,2021-01-03,52,61,42,0.1
USW001,Sitka,2021-01-04,48,56,40,0.44
USW001,Sitka,2021-01-05,46,54,39,0.7
USW001,Sitka,2021-01-06,52,64,40,0.17
USW001,Sitka,2021-01-07,54,63,46,0.04
USW001,Sitka,2021-01-08,53,63,43,0.69
USW001,Sitka,2021-01-09,46,56,36,0.0
USW001,Sitka,2021-01-10,48,53,43,0.0
USW001,Sitka,2021-01-11,44,51,36,0.51
USW001,Sitka,2021-01-12,50,60,41,0.03
USW001,Sitka,2021-01-13,49,57,41,0.42
USW001,Sitka,2021-01-14,48,54,42,0.13
USW001,Sitka,2021-01-15,50,62,38,0.08
USW001,Sitka,2021-01-16,48,57,38,1.91
USW001,Sitka,2021-01-17,46,54,37,0.78
USW001,Sitka,2021-01-18,48,57,38,0.16
USW001,Sitka,2021-01-19,50,57,42,0.0
USW001,Sitka,2021-01-20,48,59,38,0.21
USW001,Sitka,2021-01-21,50,61,38,0.12
USW001,Sitka,2021-01-22,46,54,39,0.96
USW001,Sitka,2021-01-23,48,55,41,0.0
USW001,Sitka,2021-01-24,48,55,40,0.05
USW001,Sitka,2021-01-25,44,52,36,0.03
USW001,Sitka,2021-01-26,48,49,47,1.49
USW001,Sitka,2021-01-27,48,57,40,0.48
USW001,Sitka,2021-01-28,46,54,39,0.05
USW001,Sitka,2021-01-29,47,53,41,0.0
USW001,Sitka,2021-01-30,48,59,38,0.08
USW001,Sitka,2021-01-31,50,64,37,0.43
USW001,Sitka,2021-02-01,50,60,41,0.0
USW001,Sitka,2021-02-02,48,55,41,0.0
USW001,Sitka,2021-02-03,52,62,43,0.0
USW001,Sitka,2021-02-04,52,67,38,0.02
USW001,Sitka,2021-02-05,53,69,37,0.25
USW001,Sitka,2021-02-06,56,68,44,0.0
USW001,Sitka,2021-02-07,54,65,44,0.12
USW001,Sitka,2021-02-08,52,65,40,0.29
USW001,Sitka,2021-02-09,51,62,40,2.02
USW001,Sitka,2021-02-10,49,59,39,0.05
USW001,Sitka,2021-02-11,54,63,45,0.1
USW001,Sitka,2021-02-12,52,62,43,0.1
USW001,Sitka,2021-02-13,54,69,39,0.1
USW001,Sitka,2021-02-14,50,61,40,1.04
USW001,Sitka,2021-02-15,50,58,41,100
USW001,Sitka,2021-02-16,52,63,40,0.21
USW001,Sitka,2021-02-17,51,58,44,0.0
USW001,Sitka,2021-02-18,46,57,34,0.2
USW001,Sitka,2021-02-19,52,58,47,0.08
USW001,Sitka,2021-02-20,50,58,43,0.11
USW001,Sitka,2021-02-21,53,66,40,0.0
USW001,Sitka,2021-02-22,52,61,42,0.0
USW001,Sitka,2021-02-23,51,67,35,0.0
USW001,Sitka,2021-02-24,52,63,41,0.09
USW001,Sitka,2021-02-25,52,61,43,1.6
USW001,Sitka,2021-02-26,54,61,47,0.21
USW001,Sitka,2021-02-27,57,75,39,0.48
USW001,Sitka,2021-02-28,54,64,44,0.0
USW001,Sitka,2021-03-01,52,61,43,0.0
USW001,Sitka,2021-03-02,58,70,46,0.77
USW001,Sitka,2021-03-03,61,71,51,0.08
USW001,Sitka,2021-03-04,51,60,42,0.05
USW001,Sitka,2021-03-05,56,67,44,0.39
USW001,Sitka,2021-03-06,54,60,47,1.09
USW001,Sitka,2021-03-07,58,67,50,0.2
USW001,Sitka,2021-03-08,53,63,43,0.56
USW001,Sitka,2021-03-09,58,69,46,0.0
USW001,Sitka,2021-03-10,56,67,45,0.12
USW001,Sitka,2021-03-11,58,73,42,0.0
USW001,Sitka,2021-03-12,54,63,46,0.0
USW001,Sitka,2021-03-13,52,63,41,0.0
USW001,Sitka,2021-03-14,55,65,45,0.0
USW001,Sitka,2021-03-15,56,63,49,0.0
USW001,Sitka,2021-03-16,56,66,46,0.32
USW001,Sitka,2021-03-17,56,64,49,0.09
USW001,Sitka,2021-03-18,53,63,43,0.94
USW001,Sitka,2021-03-19,55,66,44,0.13
USW001,Sitka,2021-03-20,58,72,45,0.12
USW001,Sitka,2021-03-21,53,65,41,0.0
USW001,Sitka,2021-03-22,60,72,48,0.0
USW001,Sitka,2021-03-23,50,58,43,0.06
USW001,Sitka,2021-03-24,57,67,47,0.0
USW001,Sitka,2021-03-25,53,67,39,0.0
USW001,Sitka,2021-03-26,56,66,47,0.61
USW001,Sitka,2021-03-27,56,68,43,0.07
USW001,Sitka,2021-03-28,57,72,42,0.0
USW001,Sitka,2021-03-29,54,68,39,0.53
USW001,Sitka,2021-03-30,56,60,51,0.0
USW001,Sitka,2021-03-31,56,70,41,0.62
