STATION,NAME,DATE,TAVG,TMAX,PRCP
USW002,Death Valley,2021-01-01,52,62,41
USW002,Death Valley,2021-01-02,54,70,39
USW002,Death Valley,2021-01-03,50,63,38
USW002,Death Valley,2021-01-04,53,66,40
USW002,Death Valley,2021-01-05,54,66,42
USW002,Death Valley,2021-01-06,50,64,35
USW002,Death Valley,2021-01-07,54,65,44
USW002,Death Valley,2021-01-08,56,66,47
USW002,Death Valley,2021-01-09,54,70,37
USW002,Death Valley,2021-01-10,53,65,41
USW002,Death Valley,2021-01-11,55,63,47
USW002,Death Valley,2021-01-12,53,64,42
USW002,Death Valley,2021-01-13,57,74,40
USW002,Death Valley,2021-01-14,52,64,39
USW002,Death Valley,2021-01-15,56,69,43
USW002,Death Valley,2021-01-16,52,68,36
USW002,Death Valley,2021-01-17,53,68,38
USW002,Death Valley,2021-01-18,48,59,38
USW002,Death Valley,2021-01-19,52,62,42
USW002,Death Valley,2021-01-20,61,76,46
USW002,Death Valley,2021-01-21,52,66,39
USW002,Death Valley,2021-01-22,57,71,43
USW002,Death Valley,2021-01-23,53,66,40
USW002,Death Valley,2021-01-24,58,77,40
USW002,Death Valley,2021-01-25,53,66,40
USW002,Death Valley,2021-01-26,54,70,37
USW002,Death Valley,2021-01-27,52,67,37
USW002,Death Valley,2021-01-28,56,67,46
USW002,Death Valley,2021-01-29,56,71,40
USW002,Death Valley,2021-01-30,52,64,39
USW002,Death Valley,2021-01-31,55,72,38
USW002,Death Valley,2021-02-01,60,79,41
USW002,Death Valley,2021-02-02,61,72,50
USW002,Death Valley,2021-02-03,57,65,49
USW002,Death Valley,2021-02-04,56,66,45
USW002,Death Valley,2021-02-05,60,72,47
USW002,Death Valley,2021-02-06,50,60,39
USW002,Death Valley,2021-02-07,58,71,45
USW002,Death Valley,2021-02-08,56,69,44
USW002,Death Valley,2021-02-09,56,68,44
USW002,Death Valley,2021-02-10,58,70,46
USW002,Death Valley,2021-02-11,62,75,49
USW002,Death Valley,2021-02-12,57,70,44
USW002,Death Valley,2021-02-13,58,73,44
USW002,Death Valley,2021-02-14,56,73,40
USW002,Death Valley,2021-02-15,58,74,42
USW002,Death Valley,2021-02-16,54,69,40
USW002,Death Valley,2021-02-17,62,78,45
USW002,Death Valley,2021-02-18,62,78,46
USW002,Death Valley,2021-02-19,54,66,42
USW002,Death Valley,2021-02-20,60,76,43
USW002,Death Valley,2021-02-21,56,69,44
USW002,Death Valley,2021-02-22,57,72,42
USW002,Death Valley,2021-02-23,58,72,44
USW002,Death Valley,2021-02-24,55,63,47
USW002,Death Valley,2021-02-25,60,70,49
USW002,Death Valley,2021-02-26,54,68,40
USW002,Death Valley,2021-02-27,59,78,40
USW002,Death Valley,2021-02-28,58,70,47
USW002,Death Valley,2021-03-01,64,81,47
USW002,Death Valley,2021-03-02,67,83,51
USW002,Death Valley,2021-03-03,70,87,54
USW002,Death Valley,2021-03-04,70,94,47
USW002,Death Valley,2021-03-05,66,82,49
USW002,Death Valley,2021-03-06,70,87,54
USW002,Death Valley,2021-03-07,68,85,50
USW002,Death Valley,2021-03-08,62,79,46
USW002,Death Valley,2021-03-09,72,89,54
USW002,Death Valley,2021-03-10,68,81,55
USW002,Death Valley,2021-03-11,70,85,55
USW002,Death Valley,2021-03-12,63,76,50
USW002,Death Valley,2021-03-13,68,83,53
USW002,Death Valley,2021-03-14,68,86,49
USW002,Death Valley,2021-03-15,71,83,59
USW002,Death Valley,2021-03-16,70,85,55
USW002,Death Valley,2021-03-17,68,82,54
USW002,Death Valley,2021-03-18,70,89,52
USW002,Death Valley,2021-03-19,68,87,49
USW002,Death Valley,2021-03-20,70,84,55
USW002,Death Valley,2021-03-21,67,79,55
USW002,Death Valley,2021-03-22,64,79,50
USW002,Death Valley,2021-03-23,70,82,58
USW002,Death Valley,2021-03-24,69,83,55
USW002,Death Valley,2021-03-25,66,79,52
USW002,Death Valley,2021-03-26,64,77,50
USW002,Death Valley,2021-03-27,68,85,52
USW002,Death Valley,2021-03-28,70,88,51
USW002,Death Valley,2021-03-29,68,81,56
USW002,Death Valley,2021-03-30,63,79,47
USW002,Death Valley,2021-03-31,70,87,53
USW002,Death Valley,2021-04-01,72,82,61
USW002,Death Valley,2021-04-02,78,89,66
USW002,Death Valley,2021-04-03,74,88,59
USW002,Death Valley,2021-04-04,72,87,58
USW002,Death Valley,2021-04-05,72,88,57
USW002,Death Valley,2021-04-06,72,87,56
USW002,Death Valley,2021-04-07,70,85,56
USW002,Death Valley,2021-04-08,74,89,59
USW002,Death Valley,2021-04-09,74,86,62
USW002,Death Valley,2021-04-10,76,91,60
USW002,Death Valley,2021-04-11,78,89,66
USW002,Death Valley,2021-04-12,77,92,62
USW002,Death Valley,2021-04-13,70,81,59
USW002,Death Valley,2021-04-14,71,82,60
USW002,Death Valley,2021-04-15,76,92,59
USW002,Death Valley,2021-04-16,76,93,58
USW002,Death Valley,2021-04-17,74,93,56
USW002,Death Valley,2021-04-18,76,90,62
USW002,Death Valley,2021-04-19,77,93,61
USW002,Death Valley,2021-04-20,80,99,60
USW002,Death Valley,2021-04-21,71,89,53
USW002,Death Valley,2021-04-22,79,98,60
USW002,Death Valley,2021-04-23,76,86,65
USW002,Death Valley,2021-04-24,78,96,61
USW002,Death Valley,2021-04-25,74,85,62
USW002,Death Valley,2021-04-26,73,89,57
USW002,Death Valley,2021-04-27,75,95,55
USW002,Death Valley,2021-04-28,78,93,62
USW002,Death Valley,2021-04-29,80,99,62
USW002,Death Valley,2021-04-30,70,83,58
USW002,Death Valley,2021-05-01,86,100,71
USW002,Death Valley,2021-05-02,84,104,64
USW002,Death Valley,2021-05-03,86,99,73
USW002,Death Valley,2021-05-04,91,106,76
USW002,Death Valley,2021-05-05,86,98,73
USW002,Death Valley,2021-05-06,90,107,74
USW002,Death Valley,2021-05-07,88,103,72
USW002,Death Valley,2021-05-08,82,97,66
USW002,Death Valley,2021-05-09,86,104,69
USW002,Death Valley,2021-05-10,84,100,68
USW002,Death Valley,2021-05-11,84,98,71
USW002,Death Valley,2021-05-12,83,96,70
USW002,Death Valley,2021-05-13,86,101,70
USW002,Death Valley,2021-05-14,84,97,72
USW002,Death Valley,2021-05-15,88,107,68
USW002,Death Valley,2021-05-16,89,105,73
USW002,Death Valley,2021-05-17,78,89,68
USW002,Death Valley,2021-05-18,84,97,72
USW002,Death Valley,2021-05-19,86,101,71
USW002,Death Valley,2021-05-20,85,103,67
USW002,Death Valley,2021-05-21,82,97,66
USW002,Death Valley,2021-05-22,84,99,70
USW002,Death Valley,2021-05-23,84,101,68
USW002,Death Valley,2021-05-24,88,104,73
USW002,Death Valley,2021-05-25,89,106,72
USW002,Death Valley,2021-05-26,86,101,72
USW002,Death Valley,2021-05-27,85,102,68
USW002,Death Valley,2021-05-28,90,105,75
USW002,Death Valley,2021-05-29,89,108,70
USW002,Death Valley,2021-05-30,86,101,71
USW002,Death Valley,2021-05-31,86,100,72
USW002,Death Valley,2021-06-01,94,109,78
USW002,Death Valley,2021-06-02,98,116,79
USW002,Death Valley,2021-06-03,96,109,82
USW002,Death Valley,2021-06-04,95,110,80
USW002,Death Valley,2021-06-05,92,109,75
USW002,Death Valley,2021-06-06,92,109,76
USW002,Death Valley,2021-06-07,92,110,75
USW002,Death Valley,2021-06-08,97,113,81
USW002,Death Valley,2021-06-09,94,110,79
USW002,Death Valley,2021-06-10,92,111,73
USW002,Death Valley,2021-06-11,92,105,79
USW002,Death Valley,2021-06-12,94,110,79
USW002,Death Valley,2021-06-13,92,105,79
USW002,Death Valley,2021-06-14,92,107,76
USW002,Death Valley,2021-06-15,94,110,78
USW002,Death Valley,2021-06-16,98,114,81
USW002,Death Valley,2021-06-17,96,112,80
USW002,Death Valley,2021-06-18,91,106,76
USW002,Death Valley,2021-06-19,96,103,88
USW002,Death Valley,2021-06-20,92,105,78
USW002,Death Valley,2021-06-21,93,108,78
USW002,Death Valley,2021-06-22,90,107,73
USW002,Death Valley,2021-06-23,90,105,75
USW002,Death Valley,2021-06-24,92,108,77
USW002,Death Valley,2021-06-25,93,106,80
USW002,Death Valley,2021-06-26,94,107,82
USW002,Death Valley,2021-06-27,94,107,80
USW002,Death Valley,2021-06-28,92,104,81
USW002,Death Valley,2021-06-29,94,107,80
USW002,Death Valley,2021-06-30,94,110,78
USW002,Death Valley,2021-07-01,100,116,84
USW002,Death Valley,2021-07-02,104,120,88
USW002,Death Valley,2021-07-03,99,117,81
USW002,Death Valley,2021-07-04,97,111,83
USW002,Death Valley,2021-07-05,100,114,86
USW002,Death Valley,2021-07-06,100,111,89
USW002,Death Valley,2021-07-07,97,115,79
USW002,Death Valley,2021-07-08,95,113,77
USW002,Death Valley,2021-07-09,98,112,83
USW002,Death Valley,2021-07-10,98,113,84
USW002,Death Valley,2021-07-11,98,113,83
USW002,Death Valley,2021-07-12,105,121,89
USW002,Death Valley,2021-07-13,100,110,89
USW002,Death Valley,2021-07-14,96,109,83
USW002,Death Valley,2021-07-15,100,121,78
USW002,Death Valley,2021-07-16,99,117,81
USW002,Death Valley,2021-07-17,99,114,84
USW002,Death Valley,2021-07-18,102,122,83
USW002,Death Valley,2021-07-19,101,115,87
USW002,Death Valley,2021-07-20,98,114,83
USW002,Death Valley,2021-07-21,100,115,85
USW002,Death Valley,2021-07-22,100,119,82
USW002,Death Valley,2021-07-23,100,113,86
USW002,Death Valley,2021-07-24,99,114,84
USW002,Death Valley,2021-07-25,99,115,83
USW002,Death Valley,2021-07-26,99,112,86
USW002,Death Valley,2021-07-27,100,111,88
USW002,Death Valley,2021-07-28,98,116,81
USW002,Death Valley,2021-07-29,101,116,86
USW002,Death Valley,2021-07-30,103,118,88
USW002,Death Valley,2021-07-31,98,114,83
USW002,Death Valley,2021-08-01,96,111,80
USW002,Death Valley,2021-08-02,97,110,84
USW002,Death Valley,2021-08-03,98,113,82
USW002,Death Valley,2021-08-04,97,110,84
USW002,Death Valley,2021-08-05,96,111,80
USW002,Death Valley,2021-08-06,97,112,82
USW002,Death Valley,2021-08-07,97,109,85
USW002,Death Valley,2021-08-08,100,116,83
USW002,Death Valley,2021-08-09,100,114,85
USW002,Death Valley,2021-08-10,100,113,86
USW002,Death Valley,2021-08-11,102,120,83
USW002,Death Valley,2021-08-12,100,115,86
USW002,Death Valley,2021-08-13,96,112,80
USW002,Death Valley,2021-08-14,98,117,78
USW002,Death Valley,2021-08-15,103,120,86
USW002,Death Valley,2021-08-16,98,114,83
USW002,Death Valley,2021-08-17,100,120,80
USW002,Death Valley,2021-08-18,94,108,81
USW002,Death Valley,2021-08-19,96,112,80
USW002,Death Valley,2021-08-20,98,114,83
USW002,Death Valley,2021-08-21,99,110,88
USW002,Death Valley,2021-08-22,93,107,79
USW002,Death Valley,2021-08-23,98,115,82
USW002,Death Valley,2021-08-24,98,115,81
USW002,Death Valley,2021-08-25,95,109,81
USW002,Death Valley,2021-08-26,98,110,85
USW002,Death Valley,2021-08-27,98,111,85
USW002,Death Valley,2021-08-28,100,115,86
USW002,Death Valley,2021-08-29,101,117,85
USW002,Death Valley,2021-08-30,98,116,81
USW002,Death Valley,2021-08-31,95,112,78
USW002,Death Valley,2021-09-01,89,106,72
USW002,Death Valley,2021-09-02,92,107,76
USW002,Death Valley,2021-09-03,86,100,71
USW002,Death Valley,2021-09-04,88,104,72
USW002,Death Valley,2021-09-05,88,106,71
USW002,Death Valley,2021-09-06,87,105,69
USW002,Death Valley,2021-09-07,86,96,76
USW002,Death Valley,2021-09-08,86,100,72
USW002,Death Valley,2021-09-09,84,99,70
USW002,Death Valley,2021-09-10,88,103,73
USW002,Death Valley,2021-09-11,92,109,75
USW002,Death Valley,2021-09-12,90,104,76
USW002,Death Valley,2021-09-13,92,109,75
USW002,Death Valley,2021-09-14,90,103,77
USW002,Death Valley,2021-09-15,94,112,76
USW002,Death Valley,2021-09-16,94,112,77
USW002,Death Valley,2021-09-17,90,108,71
USW002,Death Valley,2021-09-18,88,101,74
USW002,Death Valley,2021-09-19,85,98,72
USW002,Death Valley,2021-09-20,90,108,72
USW002,Death Valley,2021-09-21,88,107,70
USW002,Death Valley,2021-09-22,90,103,77
USW002,Death Valley,2021-09-23,90,106,75
USW002,Death Valley,2021-09-24,95,112,78
USW002,Death Valley,2021-09-25,90,101,78
USW002,Death Valley,2021-09-26,88,103,74
USW002,Death Valley,2021-09-27,91,105,77
USW002,Death Valley,2021-09-28,88,100,75
USW002,Death Valley,2021-09-29,92,107,76
USW002,Death Valley,2021-09-30,90,104,77
USW002,Death Valley,2021-10-01,76,88,64
USW002,Death Valley,2021-10-02,74,92,57
USW002,Death Valley,2021-10-03,78,93,62
USW002,Death Valley,2021-10-04,74,90,59
USW002,Death Valley,2021-10-05,74,90,57
USW002,Death Valley,2021-10-06,78,98,58
USW002,Death Valley,2021-10-07,76,88,64
USW002,Death Valley,2021-10-08,78,93,63
USW002,Death Valley,2021-10-09,78,97,60
USW002,Death Valley,2021-10-10,76,87,64
USW002,Death Valley,2021-10-11,77,94,60
USW002,Death Valley,2021-10-12,76,86,65
USW002,Death Valley,2021-10-13,75,93,57
USW002,Death Valley,2021-10-14,76,94,57
USW002,Death Valley,2021-10-15,74,89,58
USW002,Death Valley,2021-10-16,74,88,59
USW002,Death Valley,2021-10-17,76,89,63
USW002,Death Valley,2021-10-18,78,92,63
USW002,Death Valley,2021-10-19,78,95,60
USW002,Death Valley,2021-10-20,77,91,63
USW002,Death Valley,2021-10-21,81,98,64
USW002,Death Valley,2021-10-22,80,97,64
USW002,Death Valley,2021-10-23,76,95,56
USW002,Death Valley,2021-10-24,78,95,62
USW002,Death Valley,2021-10-25,75,91,59
USW002,Death Valley,2021-10-26,76,89,62
USW002,Death Valley,2021-10-27,76,94,57
USW002,Death Valley,2021-10-28,76,92,59
USW002,Death Valley,2021-10-29,74,87,62
USW002,Death Valley,2021-10-30,74,90,59
USW002,Death Valley,2021-10-31,75,88,62
USW002,Death Valley,2021-11-01,60,76,44
USW002,Death Valley,2021-11-02,60,73,46
USW002,Death Valley,2021-11-03,61,78,44
USW002,Death Valley,2021-11-04,62,78,45
