STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP
USW003,San Francisco,2021-01-01,51,56,46,0.0
USW003,San Francisco,2021-01-02,50,60,40,0.11
USW003,San Francisco,2021-01-03,52,60,45,0.21
USW003,San Francisco,2021-01-04,51,57,45,0.0
USW003,San Francisco,2021-01-05,52,57,48,0.03
USW003,San Francisco,2021-01-06,48,51,45,0.02
USW003,San Francisco,2021-01-07,54,60,48,0.0
USW003,San Francisco,2021-01-08,48,51,46,0.0
USW003,San Francisco,2021-01-09,54,60,49,0.0
USW003,San Francisco,2021-01-10,50,53,47,0.02
USW003,San Francisco,2021-01-11,51,57,45,0.09
USW003,San Francisco,2021-01-12,56,63,48,0.0
USW003,San Francisco,2021-01-13,51,54,48,0.1
USW003,San Francisco,2021-01-14,54,63,46,0.0
USW003,San Francisco,2021-01-15,50,54,46,0.08
USW003,San Francisco,2021-01-16,51,54,48,0.0
USW003,San Francisco,2021-01-17,52,59,44,0.0
USW003,San Francisco,2021-01-18,50,54,47,0.16
USW003,San Francisco,2021-01-19,52,57,48,1.2
USW003,San Francisco,2021-01-20,50,55,46,0.02
USW003,San Francisco,2021-01-21,48,52,45,1.11
USW003,San Francisco,2021-01-22,52,58,45,0.0
USW003,San Francisco,2021-01-23,54,63,44,0.2
USW003,San Francisco,2021-01-24,50,52,48,0.0
USW003,San Francisco,2021-01-25,56,65,46,0.49
USW003,San Francisco,2021-01-26,53,62,44,0.0
USW003,San Francisco,2021-01-27,50,55,46,0.0
USW003,San Francisco,2021-01-28,49,52,46,0.0
USW003,San Francisco,2021-01-29,56,64,47,0.42
USW003,San Francisco,2021-01-30,50,54,46,0.0
USW003,San Francisco,2021-01-31,54,63,46,0.0
USW003,San Francisco,2021-02-01,52,58,47,0.0
USW003,San Francisco,2021-02-02,50,58,43,0.07
USW003,San Francisco,2021-02-03,53,58,48,0.0
USW003,San Francisco,2021-02-04,53,58,48,0.0
USW003,San Francisco,2021-02-05,57,64,50,0.18
USW003,San Francisco,2021-02-06,55,61,49,0.2
