STATION,NAME,DATE,TAVG,TMAX,TMIN
USW001,Sitka,2021-01-01,44,61,38
USW001,Sitka,2021-01-02,42,60,36
USW001,Sitka,2021-01-03,55,78,45
USW001,Sitka,2021-01-04,38,52,30
USW001,Sitka,2021-01-05,67,89,55
USW001,Sitka,2021-01-06,71,95,62
USW001,Sitka,2021-01-07,33,48,25
USW001,Sitka,2021-01-08,58,76,47
USW001,Sitka,2021-01-09,45,63,39
USW001,Sitka,2021-01-10,82,97,74
USW001,Sitka,2021-01-11,29,41,22
USW001,Sitka,2021-01-12,63,84,54
USW001,Sitka,2021-01-13,50,70,43
USW001,Sitka,2021-01-14,74,92,65
USW001,Sitka,2021-01-15,36,55,28
